Pre-initial values:
Time 0 enable x binary x BCD x x x x x 
Initial values:
Time 10 enable 0 binary x BCD 15 15 15 15 15 
Time 30 enable 1 binary 24193 BCD 2 4 1 9 3 
Time 50 enable 1 binary 22115 BCD 2 2 1 1 5 
Time 70 enable 1 binary 39309 BCD 3 9 3 0 9 
Time 90 enable 1 binary 21010 BCD 2 1 0 1 0 
Time 110 enable 0 binary 52493 BCD 15 15 15 15 15 
Time 130 enable 1 binary 52541 BCD 5 2 5 4 1 
Time 150 enable 1 binary 63372 BCD 6 3 3 7 2 
Time 170 enable 1 binary 9414 BCD 0 9 4 1 4 
Time 190 enable 1 binary 53930 BCD 5 3 9 3 0 
Time 210 enable 0 binary 29303 BCD 15 15 15 15 15 
Time 230 enable 0 binary 56207 BCD 15 15 15 15 15 
Time 250 enable 0 binary 38606 BCD 15 15 15 15 15 
Time 270 enable 0 binary 20165 BCD 15 15 15 15 15 
Time 290 enable 1 binary 10429 BCD 1 0 4 2 9 
Time 310 enable 1 binary 9829 BCD 0 9 8 2 9 
Time 330 enable 0 binary 34570 BCD 15 15 15 15 15 
Time 350 enable 0 binary 8480 BCD 15 15 15 15 15 
Time 370 enable 0 binary 52381 BCD 15 15 15 15 15 
Time 390 enable 1 binary 47123 BCD 4 7 1 2 3 
Time 410 enable 1 binary 54867 BCD 5 4 8 6 7 
Time 430 enable 0 binary 10965 BCD 15 15 15 15 15 
Time 450 enable 1 binary 16046 BCD 1 6 0 4 6 
Time 470 enable 1 binary 29391 BCD 2 9 3 9 1 
Time 490 enable 0 binary 25866 BCD 15 15 15 15 15 
Time 510 enable 0 binary 19516 BCD 15 15 15 15 15 
Time 530 enable 1 binary 24970 BCD 2 4 9 7 0 
Time 550 enable 0 binary 13528 BCD 15 15 15 15 15 
Time 570 enable 1 binary 4745 BCD 0 4 7 4 5 
Time 590 enable 0 binary 26038 BCD 15 15 15 15 15 
Time 610 enable 0 binary 5038 BCD 15 15 15 15 15 
Time 630 enable 1 binary 56618 BCD 5 6 6 1 8 
Time 650 enable 1 binary 48753 BCD 4 8 7 5 3 
Time 670 enable 1 binary 21839 BCD 2 1 8 3 9 
Time 690 enable 0 binary 13114 BCD 15 15 15 15 15 
Time 710 enable 1 binary 19221 BCD 1 9 2 2 1 
Time 730 enable 0 binary 19417 BCD 15 15 15 15 15 
Time 750 enable 1 binary 64332 BCD 6 4 3 3 2 
Time 770 enable 0 binary 41359 BCD 15 15 15 15 15 
Time 790 enable 1 binary 24759 BCD 2 4 7 5 9 
Time 810 enable 1 binary 37980 BCD 3 7 9 8 0 
Time 830 enable 1 binary 14217 BCD 1 4 2 1 7 
Time 850 enable 1 binary 16080 BCD 1 6 0 8 0 
Time 870 enable 0 binary 64593 BCD 15 15 15 15 15 
